title,author,average_rating,ratings_count,reviews_count,book_url,rating_to_review_ratio
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1461667,175400.03999999998,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,8.333285823162736
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,1458932,175071.84,https://www.goodreads.com/book/show/20613470-heir-of-fire,8.333285734097876
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1457748,174929.75999999998,https://www.goodreads.com/book/show/375802.Ender_s_Game,8.333285695437441
Dracula,Bram Stoker,4.02,1430692,171683.04,https://www.goodreads.com/book/show/17245.Dracula,8.333284794556326
The Invisible Life of Addie LaRue,V.E. Schwab,4.17,1428836,171460.32,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,8.33328473150679
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.19,1397462,167695.44,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret,8.333283640368276
The Metamorphosis,Franz Kafka,3.9,1366211,163945.32,https://www.goodreads.com/book/show/485894.The_Metamorphosis,8.333282503687792
We Were Liars,E. Lockhart,3.65,1346292,161555.04,https://www.goodreads.com/book/show/16143347-we-were-liars,8.333281751644815
"Holes (Holes, #1)",Louis Sachar,4.01,1344042,161285.04,https://www.goodreads.com/book/show/38709.Holes,8.333281665294777
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,1343639,161236.68,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,8.333281649797987
Night,Elie Wiesel,4.38,1343168,161180.16,https://www.goodreads.com/book/show/1617.Night,8.33328163167457
The Secret Life of Bees,Sue Monk Kidd,4.1,1342750,161130.0,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,8.33328161557987
The Stranger,Albert Camus,4.03,1342142,161057.04,https://www.goodreads.com/book/show/49552.The_Stranger,8.333281592151499
The Glass Castle,Jeannette Walls,4.32,1337646,160517.52,https://www.goodreads.com/book/show/7445.The_Glass_Castle,8.333281418243827
